order_id,department,add_time,mod_time
20071258,IA&ND,2015-09-26 20:08:38.504+00,2015-09-26 20:08:38.504+00
20071259,IA&ND,2015-09-26 20:08:38.775+00,2015-09-26 20:08:38.775+00
20071260,IA&ND,2015-09-26 20:08:39.007+00,2015-09-26 20:08:39.007+00
20071261,IA&ND,2015-09-26 20:08:39.291+00,2015-09-26 20:08:39.291+00
20071262,RC,2015-09-26 20:08:39.544+00,2015-09-26 20:08:39.544+00
20071263,HRSD,2015-09-26 20:08:39.777+00,2015-09-26 20:08:39.777+00
20071264,HRSD,2015-09-26 20:08:40.007+00,2015-09-26 20:08:40.007+00
20071265,HRSD,2015-09-26 20:08:40.232+00,2015-09-26 20:08:40.232+00
20071266,HRSD,2015-09-26 20:08:40.479+00,2015-09-26 20:08:40.479+00
20071267,HRSD,2015-09-26 20:08:40.718+00,2015-09-26 20:08:40.718+00
20071268,HRSD,2015-09-26 20:08:40.953+00,2015-09-26 20:08:40.953+00
20071269,HRSD,2015-09-26 20:08:41.194+00,2015-09-26 20:08:41.194+00
20071270,HRSD,2015-09-26 20:08:41.42+00,2015-09-26 20:08:41.42+00
20071271,HRSD,2015-09-26 20:08:41.656+00,2015-09-26 20:08:41.656+00
20071272,HRSD,2015-09-26 20:08:41.892+00,2015-09-26 20:08:41.892+00
20071273,HRSD,2015-09-26 20:08:42.166+00,2015-09-26 20:08:42.166+00
20071274,HRSD,2015-09-26 20:08:42.4+00,2015-09-26 20:08:42.4+00
20071275,HRSD,2015-09-26 20:08:42.642+00,2015-09-26 20:08:42.642+00
20071276,HRSD,2015-09-26 20:08:42.914+00,2015-09-26 20:08:42.914+00
20071277,HRSD,2015-09-26 20:08:43.18+00,2015-09-26 20:08:43.18+00
20071278,HRSD,2015-09-26 20:08:43.432+00,2015-09-26 20:08:43.432+00
20071279,HRSD,2015-09-26 20:08:43.687+00,2015-09-26 20:08:43.687+00
20071280,HRSD,2015-09-26 20:08:43.945+00,2015-09-26 20:08:43.945+00
20071281,HRSD,2015-09-26 20:08:44.2+00,2015-09-26 20:08:44.2+00
20071282,HRSD,2015-09-26 20:08:44.496+00,2015-09-26 20:08:44.496+00
20071283,HRSD,2015-09-26 20:08:44.756+00,2015-09-26 20:08:44.756+00
20071284,AGRI-FOOD,2015-09-26 20:08:45.028+00,2015-09-26 20:08:45.028+00
20071285,AGRI-FOOD,2015-09-26 20:08:45.273+00,2015-09-26 20:08:45.273+00
20071286,AGRI-FOOD,2015-09-26 20:08:45.511+00,2015-09-26 20:08:45.511+00
20071287,AGRI-FOOD,2015-09-26 20:08:45.743+00,2015-09-26 20:08:45.743+00
20071288,VAC,2015-09-26 20:08:46.093+00,2015-09-26 20:08:46.093+00
20071289,VAC,2015-09-26 20:08:46.358+00,2015-09-26 20:08:46.358+00
